animekaId,name,score,votes,country,episodes,format,duration,duration_global,running,date_start,date_end,categories,studios,authors,name_original,url,source
6960,Chi's Sweet Home - Atarashii Ouchi,7.71,87,Japon,104,eps,5,520,False,2009,2009,COMÉDIE,MADHOUSE PRODUCTION,KONAMI KANATA,Chi's Sweet Home - Atarashii Ouchi,http://animeka.com/animes/detail/chis-sweet-home-atarashii-ouchi.html,http://animeka.com/animes/~_51.html
6963,Aoi Hana,7.58,968,Japon,11,eps,25,275,False,2009,2009,SHôJO-AI,J.C. STAFF,SHIMURA TAKAKO,Aoi Hana,http://animeka.com/animes/detail/aoi-hana.html,http://animeka.com/animes/~_16.html
6962,Tokyo Magnitude 8.0 (2011),8.54,601,Japon,11,eps,25,275,False,2009,2009,DRAME,KINEMA CITRUS|BONES,TACHIBANA MASAKI,Tokyo Magnitude 8.0,http://animeka.com/animes/detail/tokyo-magnitude-80.html,http://animeka.com/animes/~_356.html
6965,Prince of Tennis OAV Another Story - Kako to Mirai no Message,9.69,136,Japon,4,oav,30,120,False,2009,2009,COMÉDIE|SPORT,M.S.C.,KONOMI TAKESHI,Tennis no Ouji-sama OVA Another Story: Kako to Mirai no Message,http://animeka.com/animes/detail/pot-oav-another-story.html,http://animeka.com/animes/~_283.html
6964,DOGS - Stray Dogs Howling in the Dark,8.84,327,Japon,4,oav,15,60,False,2009,2009,ACTION,DAVID PRODUCTION,MIWA SHIROW,DOGS: Stray Dogs Howling in the Dark,http://animeka.com/animes/detail/dogs-bullets-carnage.html,http://animeka.com/animes/~_76.html
6967,Mainichi Kaa-san,5.6,10,Japon,None,eps,25,,True,2009,2009,FAMILIAL & JEUNESSE|COMÉDIE,STUDIO GALLOP|NAS,SAIBARA RIEKO,Mainichi Kaa-san,http://animeka.com/animes/detail/mainichi-kaasan.html,http://animeka.com/animes/~_223.html
6966,Pokémon - Film 12 : Arceus et le joyau de vie (2009),9.01,89,Japon,1,film,97,97,False,2009,2009,AVENTURE|FAMILIAL & JEUNESSE|COMÉDIE,SHOGAKUKAN PROD. CO.|OLM (ORIENTAL LIGHT AND MAGIC),TAJIRI SATOSHI,Gekijouban Pocket Monsters Diamond & Pearl - Arceus - Choukoku no Jikuu e,http://animeka.com/animes/detail/pokemon-film-12.html,http://animeka.com/animes/~_280.html
8156,Nakaseru Sora ni Aitai - Tateyama no Koibito-hen,5.88,8,Japon,1,clip,5,5,False,2009,2009,ÉDUCATIF|AMOUR & AMITIÉ,P.A. WORKS,P.A. WORKS,Nakaseru Sora ni Aitai: Tateyama no Koibito-hen,http://animeka.com/animes/detail/nakaseru-sora-ni-aitai-tateyama-no-koibi.html,http://animeka.com/animes/~_252.html
6968,Charady no Joke na Mainichi,2.5,12,Japon,365,eps,5,1825,False,2009,2010,COMÉDIE,KYOTO UNIVERSITY OF ART & DESIGN,MASUDA RYUUJI,Charady no Joke na Mainichi,http://animeka.com/animes/detail/charady-no-joke-na-mainichi.html,http://animeka.com/animes/~_49.html
8154,Fantascope - Tylostoma (2007),5.0,2,Japon,1,oav,33,33,False,2006,2006,DRAME,TôEI ANIMATION,AMANO YOSHITAKA,Fantascope Tylostoma,http://animeka.com/animes/detail/fantascope-tylostoma.html,http://animeka.com/animes/~_92.html
8155,Ghost Messenger,9.05,241,Corée du Sud,26,eps,22,572,False,2009,2009,AVENTURE|FANTASTIQUE & MYTHE,STUDIO ANIMAL,STUDIO ANIMAL,Ghost Messenger,http://animeka.com/animes/detail/ghost-messenger.html,http://animeka.com/animes/~_110.html
8152,H.P. Lovecraft no Dunwich Horror,7.5,10,Japon,1,oav,46,46,False,2007,2007,HORREUR,TôEI ANIMATION,LOVECRAFT HOWARD PHILLIPS,H.P. Lovecraft no Dunwich Horror,http://animeka.com/animes/detail/h-p-lovecraft-no-dunwich-horror.html,http://animeka.com/animes/~_119.html
